scope,k,users,precision_at_k,recall_at_k,hit_rate,relevant_per_user
common_users_2015_2016,5,94091,0.03181813350904975,0.09596100229210727,0.13364721386742623,1.5106652070867563
all_users_2016,5,115867,0.025838245574667507,0.07792612794554675,0.10852960722207358,1.537348856879008
